subject,accuracy,rt,reject
1059,0,776,0
1143,0,1087.5,0
1230,1,545.55,1
1267,0,482.7,0
1288,0,893.85,0
1297,0,1200.2,0
1328,0,970.7,0
1338,0,808,0
1443,0,1136.1,0
1462,0,700.4,0
147,0,658.55,0
150,0,761.5,0
1571,0,852.3,0
1624,0,854.65,0
1721,0,1037.95,0
1826,0,910.7,0
1827,0,1275,0
1846,0,858.1,0
1850,0,1073,0
1851,0,916,0
1876,0,896,0
1883,0,1073.9,0
198,0,1021.55,0
1980,0,1005.15,0
1981,0,1260.2,0
1982,0,818.1,0
2030,0,762.95,0
2039,1,691.7,1
2040,0,760.7,0
2062,1,684.3,1
2082,0,613.5,0
2085,0,950.75,0
2086,0,969.8,0
2106,0,537.05,0
2124,0,913.5,0
2125,0,1294.1,0
2135,1,892.0999999,1
2138,0,953.5,0
2165,0,957.0999999,0
2166,0,625.3999999,0
2189,0,915.8,0
22,0,822.5,0
226,0,826.7,0
2284,0,889,0
229,0,1096.6,0
2312,0,1085,0
2315,0,732.6,0
2316,0,878,0
2334,0,822,0
2335,0,928,0
2368,0,973.65,0
2388,0,818.8,0
2406,0,1364.9,0
2407,0,1064.2,0
2425,0,830.1,0
243,1,1161,1
2430,0,872.3,0
2497,0,1025.5,0
2506,0,1001.6,0
2541,0,795.4,0
2558,0,694.2,0
2565,0,843.6000001,0
2571,0,1100.3,0
2575,0,816.1999998,0
2599,0,690,0
2606,1,578.5,1
2608,0,791.65,0
263,0,580,0
2675,0,982.9,0
2709,0,945.5,0
2752,0,599.75,0
2771,0,652.05,0
2788,0,895,0
2792,0,1004.3,0
2803,0,910.7,0
2804,0,724.75,0
2815,0,1040.8,0
2855,0,826,0
2856,0,565.0999999,0
287,0,1055.2,0
2870,0,834.5,0
2874,0,895.45,0
2902,0,765.7,0
2925,0,799,0
293,0,775.4,0
2935,0,830.8,0
296,0,1110,0
2981,0,1154.5,0
2986,0,765.3,0
3026,0,1040.5,0
3028,0,792.2,0
3042,0,1037.3,0
3045,0,748.2,0
3046,0,955.2,0
3049,1,728,1
3054,0,1141,0
3055,0,979.95,0
3077,0,642,0
3081,0,1217.9,0
3091,0,770.2,0
3097,0,1047.55,0
3106,0,1405.25,0
3111,0,722.8,0
3112,0,1086.7,0
314,0,646.1,0
3149,0,1024,0
3158,0,820.9,0
3161,0,645.1000004,0
3169,0,1102.1,0
3170,0,741.1,0
3172,0,899.3000001,0
3192,0,661.6,0
3206,0,899.6,0
3207,0,867.4,0
3223,0,1408.5,0
3225,0,814.4,0
3251,1,192.7,1
3273,0,951.5,0
329,0,1083.6,0
332,0,795.05,0
3330,0,737.5,0
351,0,806.4000001,0
37,0,736.5,0
384,0,1072.85,0
390,0,875.2000001,0
395,0,651.1999999,0
404,0,848.5,0
437,0,1099.7,0
465,0,764.3,0
472,0,727.5,0
474,0,720.45,0
476,0,862.5,0
487,0,955.5,0
588,1,966.3000002,1
592,0,757,0
601,0,751.9500001,0
632,0,758.05,0
661,0,999.1,0
672,0,598.5,0
704,0,666.1,0
709,0,910.4,0
710,0,922.1000001,0
74,0,908.3000001,0
758,0,1055.4,0
787,0,658.2,0
813,0,770.8,0
828,0,606.7,0
843,0,751.3,0
863,0,603,0
877,0,1114.4,0
879,0,958.9,0
917,0,917.8,0
928,1,510.95,1
957,0,941.8,0
973,0,859.4,0
