	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
lp__	-18500.0	0.431	18.9	-18600.0	-18500.0	-18500.0	1920.0	0.0736	1.0
theta_mu[1,1]	1.69	0.0038	0.184	1.33	1.68	2.05	2346.0	0.0897	1.0
theta_mu[1,2]	1.41	0.00459	0.167	1.09	1.39	1.74	1324.0	0.0506	1.01
theta_mu[2,1]	-1.44	0.00189	0.0844	-1.61	-1.44	-1.28	1998.0	0.0764	1.0
theta_mu[2,2]	-1.28	0.00233	0.0879	-1.47	-1.28	-1.12	1424.0	0.0544	1.0
theta_c_pr[1,1]	1.77	0.00609	0.677	0.51	1.73	3.12	12354.0	0.472	1.0
theta_c_pr[1,2]	-1.14	0.0121	0.627	-2.01	-1.26	0.581	2683.0	0.103	1.0
theta_c_pr[1,3]	-0.291	0.0255	0.547	-1.07	-0.362	0.871	460.0	0.0176	1.01
theta_c_pr[1,4]	-0.539	0.00724	0.441	-1.29	-0.594	0.442	3714.0	0.142	1.0
theta_c_pr[1,5]	0.875	0.00661	0.607	-0.246	0.84	2.1	8418.0	0.322	1.0
theta_c_pr[1,6]	-0.497	0.00581	0.304	-1.11	-0.501	0.0932	2747.0	0.105	1.0
theta_c_pr[1,7]	-0.267	0.0098	0.94	-1.87	-0.357	1.67	9201.0	0.352	1.0
theta_c_pr[1,8]	0.377	0.00656	0.748	-0.915	0.309	1.92	12992.0	0.497	1.0
theta_c_pr[1,9]	1.05	0.00585	0.681	-0.2	1.0	2.47	13572.0	0.519	1.0
theta_c_pr[1,10]	-0.304	0.00994	0.855	-1.58	-0.463	1.58	7388.0	0.282	1.0
theta_c_pr[1,11]	-0.676	0.0205	1.16	-2.35	-0.884	1.72	3213.0	0.123	1.0
theta_c_pr[1,12]	-0.606	0.0146	0.986	-1.97	-0.843	1.63	4571.0	0.175	1.0
theta_c_pr[1,13]	-0.192	0.0057	0.536	-1.1	-0.26	0.973	8831.0	0.338	1.0
theta_c_pr[1,14]	0.283	0.00739	0.588	-0.743	0.228	1.53	6327.0	0.242	1.0
theta_c_pr[1,15]	-0.467	0.013	1.02	-1.99	-0.617	1.66	6127.0	0.234	1.0
theta_c_pr[1,16]	0.126	0.00686	0.745	-1.1	0.033	1.71	11788.0	0.451	1.0
theta_c_pr[1,17]	0.745	0.00632	0.7	-0.513	0.686	2.21	12263.0	0.469	1.0
theta_c_pr[1,18]	-0.624	0.00743	0.514	-1.41	-0.717	0.578	4782.0	0.183	1.0
theta_c_pr[1,19]	-0.758	0.00631	0.442	-1.51	-0.814	0.226	4908.0	0.188	1.0
theta_c_pr[1,20]	-1.25	0.0165	0.554	-2.28	-1.27	-0.234	1130.0	0.0432	1.0
theta_c_pr[1,21]	0.556	0.00632	0.774	-0.868	0.501	2.15	14962.0	0.572	1.0
theta_c_pr[1,22]	-0.693	0.0124	0.899	-2.02	-0.879	1.3	5274.0	0.202	1.0
theta_c_pr[1,23]	0.0601	0.0102	0.927	-1.46	-0.0255	1.99	8213.0	0.314	1.0
