	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
lp__	-14400.0	0.465	27.5	-14400.0	-14400.0	-14300.0	3510.0	0.305	1.0
theta_mu[1]	1.32	0.00225	0.111	1.11	1.32	1.54	2421.0	0.211	1.0
theta_mu[2]	1.17	0.00182	0.0969	0.986	1.17	1.36	2847.0	0.248	1.0
theta_mu[3]	0.279	0.000272	0.0208	0.237	0.28	0.319	5854.0	0.509	1.0
theta_mu[4]	-0.0212	0.000282	0.0184	-0.0592	-0.0212	0.0132	4250.0	0.37	1.0
theta_mu[5]	-1.25	0.00139	0.0743	-1.4	-1.25	-1.11	2840.0	0.247	1.0
theta_pr[1,1]	0.825	0.0057	0.666	-0.405	0.785	2.18	13646.0	1.19	1.0
theta_pr[1,2]	-1.16	0.00343	0.232	-1.64	-1.16	-0.722	4590.0	0.399	1.0
theta_pr[1,3]	0.431	0.00583	0.652	-0.657	0.35	1.85	12499.0	1.09	1.0
theta_pr[1,4]	-0.564	0.00881	0.967	-2.25	-0.626	1.4	12034.0	1.05	1.0
theta_pr[1,5]	1.56	0.00524	0.667	0.285	1.53	2.89	16216.0	1.41	1.0
theta_pr[1,6]	-0.468	0.00569	0.533	-1.32	-0.548	0.749	8751.0	0.761	1.0
theta_pr[1,7]	1.06	0.00559	0.678	-0.216	1.02	2.43	14736.0	1.28	1.0
theta_pr[1,8]	-0.341	0.00584	0.571	-1.27	-0.414	0.946	9537.0	0.83	1.0
theta_pr[1,9]	-0.839	0.0112	0.878	-2.04	-1.09	1.19	6168.0	0.537	1.0
theta_pr[1,10]	0.499	0.00504	0.622	-0.602	0.443	1.8	15247.0	1.33	1.0
theta_pr[1,11]	0.202	0.00505	0.608	-0.854	0.141	1.48	14493.0	1.26	1.0
theta_pr[1,12]	0.162	0.00767	0.887	-1.49	0.13	1.91	13364.0	1.16	1.0
theta_pr[1,13]	-0.48	0.0103	0.986	-2.21	-0.554	1.49	9232.0	0.803	1.0
theta_pr[1,14]	0.372	0.00768	0.864	-1.17	0.329	2.09	12644.0	1.1	1.0
theta_pr[1,15]	-0.0895	0.0114	0.995	-1.84	-0.0995	1.83	7597.0	0.661	1.0
theta_pr[1,16]	1.33	0.00577	0.664	0.0613	1.29	2.66	13230.0	1.15	1.0
theta_pr[1,17]	-0.0995	0.00696	0.761	-1.4	-0.176	1.49	11937.0	1.04	1.0
theta_pr[1,18]	0.413	0.00875	0.896	-1.22	0.378	2.18	10477.0	0.911	1.0
theta_pr[1,19]	0.628	0.0052	0.624	-0.519	0.585	1.9	14385.0	1.25	1.0
theta_pr[1,20]	-0.985	0.00452	0.334	-1.55	-1.02	-0.268	5453.0	0.474	1.0
theta_pr[1,21]	-2.29	0.00819	0.437	-3.0	-2.31	-1.62	2853.0	0.248	1.0
theta_pr[1,22]	-0.216	0.00449	0.439	-1.02	-0.246	0.677	9538.0	0.83	1.0
theta_pr[1,23]	0.455	0.0056	0.662	-0.749	0.408	1.8	13989.0	1.22	1.0
theta_pr[1,24]	-0.072	0.00611	0.627	-1.11	-0.154	1.28	10535.0	0.916	1.0
theta_pr[1,25]	0.886	0.00549	0.677	-0.362	0.849	2.26	15254.0	1.33	1.0
