	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
lp__	-2400.0	0.0485	4.53	-2410.0	-2400.0	-2390.0	8730.0	101.0	1.0
theta_mu[1]	1.28	7.64e-05	0.0137	1.26	1.28	1.31	32082.0	372.0	1.0
theta_mu[2]	-1.33	0.000183	0.0293	-1.39	-1.33	-1.27	25618.0	297.0	1.0
theta_pr[1,1]	-0.00129	0.00546	0.991	-2.06	0.00364	1.87	32873.0	381.0	1.0
theta_pr[1,2]	-0.00186	0.00533	1.01	-2.08	0.00482	1.92	36117.0	419.0	1.0
theta_pr[1,3]	-0.00698	0.00556	0.989	-2.01	-0.0127	1.86	31706.0	368.0	1.0
theta_pr[1,4]	0.00414	0.00548	1.01	-2.07	0.00774	1.88	33676.0	390.0	1.0
theta_pr[1,5]	0.0027	0.0053	0.991	-2.06	0.00446	1.88	34929.0	405.0	1.0
theta_pr[1,6]	-0.00126	0.00524	0.995	-2.03	0.00313	1.89	35994.0	417.0	1.0
theta_pr[1,7]	-0.0118	0.00531	1.0	-2.1	-0.00895	1.89	35800.0	415.0	1.0
theta_pr[1,8]	-0.00684	0.0054	0.982	-2.02	-0.00636	1.85	33082.0	384.0	1.0
theta_pr[1,9]	-0.0122	0.00555	0.994	-2.06	-0.0135	1.85	32098.0	372.0	1.0
theta_pr[1,10]	-0.0102	0.00536	0.984	-2.01	-0.00348	1.83	33663.0	390.0	1.0
theta_pr[1,11]	-0.00459	0.00529	1.0	-2.04	-0.00433	1.88	35797.0	415.0	1.0
theta_pr[1,12]	0.00271	0.00546	0.997	-2.07	0.0034	1.88	33360.0	387.0	1.0
theta_pr[1,13]	-0.00065	0.00556	0.989	-2.02	-0.00285	1.85	31680.0	367.0	1.0
theta_pr[1,14]	-0.00804	0.00546	1.0	-2.07	-0.00744	1.91	33651.0	390.0	1.0
theta_pr[1,15]	0.00403	0.00546	1.01	-2.1	0.00749	1.9	34535.0	400.0	1.0
theta_pr[2,1]	0.00403	0.00535	1.0	-2.05	-0.000588	1.89	35129.0	407.0	1.0
theta_pr[2,2]	-0.00354	0.00542	1.0	-2.04	-0.00384	1.87	34140.0	396.0	1.0
theta_pr[2,3]	-0.00673	0.00549	1.0	-2.08	0.00485	1.86	33259.0	386.0	1.0
theta_pr[2,4]	-0.00464	0.00541	0.999	-2.06	0.0014	1.85	34155.0	396.0	1.0
theta_pr[2,5]	0.00735	0.00534	1.0	-2.04	0.00549	1.9	35188.0	408.0	1.0
